Base	Collocatif	Compositionnel	Phrase	ID	Corpus	URL
boule	brillante	Oui	Au milieu de la prairie se dressaient quelques arbres, quatre, qui, en raison de leur rapprochement, formaient de toutes leurs feuilles réunies une boule ronde et brillante.	s842 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s842&idxml=LITT.fr.AUGIERAS.xml&user=userP&token=c0b9ac452429c55a7c6b88ec87f57ca0
constellations	brillantes	Oui	Parmi les constellations brillantes, se détachant sur le noir de l'espace, un disque vert, émettant une étrange phosphorescence, grossissait rapidement.	s2513 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s2513&idxml=LITT.fr.GUIEU.xml&user=userP&token=eca2f755a8c05ed69607c6b55b33f976
tissu	brillant	Oui	Ce qu'il vit lui coupa le souffle : une fille splendide, au galbe irréprochable, vêtue d'un deux-pièces en tissu brillant, couleur corail, gisait, inanimée.	s897 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s897&idxml=LITT.fr.BARBET.xml&user=userP&token=d98351897e6d19564648848d5451d733
cuirasse	brillante	Oui	Ils s'approchèrent, comme jadis les garçons d'E'Ria, passèrent un doigt précautionneux sur ma brillante cuirasse d'astronaute.	s3144 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s3144&idxml=LITT.fr.HENNEBERG.xml&user=userP&token=24f4bedba36bfc5c0d0ba781dd1dd16c
sphère	brillante	Oui	De fait, la sphère était lisse et brillante comme une boule de flipper.	s5042 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s5042&idxml=LITT.fr.BOISSET.xml&user=userP&token=f9fa73eef9572ed92c4ab534fc9fd7ab
halo	brillant	Oui	Sans attendre sa réponse, l'inconnu la poussa vers le halo jaune et brillant qui éclairait une parcelle de l'immense pièce, découvrant ainsi son visage.	s5621 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s5621&idxml=LITT.fr.BOUSQUET.xml&user=userP&token=48878116c41d980d15e29b7c3b08a3c0
pièces	brillantes	Oui	Modenko leur jeta une poignée de pièces brillantes qu'ils ramassèrent avec un grand respect.	s2447 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s2447&idxml=LITT.fr.BRUSSOLO.xml&user=userP&token=6ee81a68ba7941e7a1ec2ff7e4ad669d
élève	brillant	Non	J'étais un élève brillant et nous nous sommes rapidement liés d'amitié.	s1206 	POLv2 : Corpus policier de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s1206&idxml=POL.fr.DELAFOSSE.xml&user=userP&token=c81158e2c3fa8afe72422b67b6d11b6b
élève	brillante	Non	Elle me sourit tendrement, presque maternelle, sous le visage de la vieille dame j'aperçois distinctement les traits de la plus brillante élève d'Élisabeth Schwartzkopf.	s9488 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s9488&idxml=LITT.fr.DANTEC2.xml&user=userP&token=5725489a9afbdf1a7f613c9806e715ab
élèves	brillants	Non	Il avait pour vocation d'aider des élèves brillants mais défavorisés à poursuivre leurs études en attribuant des bourses.	s2952 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s2952&idxml=LITT.fr.MUSSO.xml&user=userP&token=a37f7561f11840aa38c45cd1c0a14342
élève	brillant	Non	Cette mémorable nuit, le plus brillant élève de la célèbre école fut chassé ignominieusement. 	s3748 	POLv2 : Corpus policier de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s3748&idxml=POL.fr.LENTERIC.xml&user=userP&token=581de3afb2dee8df535c3235f806aa29
élèves	brillants	Non	Il laissait volontiers le soin de régler les rares différends entre éleveurs à ses subordonnés, fonctionnaires compétents à défaut d'être zélés, recrutés parmi les plus brillants élèves instruits à l'école du palais.	s6329 	FY : Corpus fantastique de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s6329&idxml=FY.fr.HELIOT.xml&user=userP&token=5813ffb8257f68d496a53cf18572e8ce
élève	brillante	Non	– Parce que tu es une élève brillante et valeureuse, j'accède à ta requête.	s32415 	FY : Corpus fantastique de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s32415&idxml=FY.fr.PERU.xml&user=userP&token=f26387aab8bdea0e153740292ad17a29
élève	brillante	Non	L'esprit toujours limpide comme de l'eau de source, elle avait été sa plus brillante élève, après Wellan, et, aujourd'hui, elle portait fièrement la cuirasse des Chevaliers d'Émeraude.	s61377 	FY : Corpus fantastique de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s61377&idxml=FY.fr.ROBILLARD.xml&user=userP&token=347eab4972f4894fd73631417f7179f6
élève	brillant	Non	J'étais un élève brillant, mais c'est une chose dont mon père ne tirait aucune vanité, dont il prenait presque ombrage.	s59089 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s59089&idxml=libe2010_2015.xml&user=userP&token=b9f9993da65fc2321e383afc20b9167e
élèves	brillants	Non	Elle forme de brillants élèves, peu nombreux et généralement issus de milieux favorisés, qui vont constituer une petite élite éclairée.	s794935 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s794935&idxml=libe2010_2015.xml&user=userP&token=ec7a2ce85d9c8e058701d494e395dcdd
élève	brillant	Non	Je n'avais rien d'un élève brillant, j'étais plutôt du genre bosseur acharné.	s368 	ARLv2 : Corpus Harlequin de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s368&idxml=ARL.fr.MUSSO.xml&user=userP&token=c785eedeb8f117a92529ebab2fd7e753
éclats	brillants	Oui	Lentement, l'astre grossit, se déploya et se désagrégea, donnant naissance à une multitude d'éclats brillants.	s9157 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s9157&idxml=LITT.fr.CAILLET.xml&user=userP&token=22589d8b01e03afd1cf86073a9c7b2e5
dents	brillantes	Oui	Il se referma brusquement et son sourire factice redécouvrit ses dents brillantes.	s9368 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s9368&idxml=LITT.fr.CHATTAM.xml&user=userP&token=02f64339503653f4dcbd56c16d693d05
lunettes	brillantes	Oui	Elle me fixait au fond des yeux, le visage tendu, les lunettes brillantes sous la frange de cheveux argent.	s350 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s350&idxml=LITT.fr.CHESSEX.xml&user=userP&token=fc425283bae894b43aa85af9225d7f02
chaussures	brillantes	Oui	Et les hommes portaient des complets fringants, des chaussures brillantes, les femmes des cotonnades colorées.	s1622 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s1622&idxml=LITT.fr.CURVAL.xml&user=userP&token=a32a9770b147a2562a0a8fe90e24c770
cristaux	brillants	Oui	De nouveau, je m'attarde sur les cristaux brillants de son intérieur, tandis que son enveloppe neutre ne laisse rien soupçonner.	s4614 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s4614&idxml=LITT.fr.DEGHELT.xml&user=userP&token=fb447106c1dc11114671971bc75cedc2
lame	brillante	Oui	Miriam à ces mots plonge la main vers la cassette posée à côté d'elle, extrait de l'inépuisable boîte à beauté un joli couteau à manche nacré qui met au clair une lame brillante, étroite, longue de deux doigts au moins, qu'elle empoigne avec résolution.	s325 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s325&idxml=LITT.fr.DEMANDIARGUES.xml&user=userP&token=ac02bf19f70db999b77956a33c21e7ba
lune	brillante	Oui	La lune brillante illumine tout au-dehors.	s7231 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s7231&idxml=LITT.fr.DICKER.xml&user=userP&token=6dac9cb087670d9c888e6f9e7d539f48
métal	brillant	Oui	Son ombre file contre les parois de métal brillant et les rails de lumière verte paraissent se rejoindre devant lui, dans l'infinie obscurité des entrailles de la terre.	s2959 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s2959&idxml=LITT.fr.DUFOUR2.xml&user=userP&token=815d6a149dad16d1693980b8a735e639
anneau	brillant	Oui	L'anneau brillant qu'il portait à la narine droite accrocha la lumière des réverbères tandis que la lame d'une hachette se laissait deviner sous son manteau.	s32474 	FY : Corpus fantastique de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s32474&idxml=FY.fr.ROBERT.xml&user=userP&token=0061d67733058f6208970f5cf2c665c5
aiguilles	brillantes	Oui	Leur extrémité supérieure était recouverte d'une gerbe d'aiguilles brillantes, comme de l'acier poli.	s640 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s640&idxml=LITT.fr.GUIEU.xml&user=userP&token=c0a45ef2e3313106c3b4ecdc2360a97a
douche	bonne	Non	Après une mauvaise nuit et une bonne douche, Françoise rappela le portable de son mari.	s10896 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s10896&idxml=LITT.fr.ALEXIS.xml&user=userP&token=0f8a798ec10ec42d23ecb76b88ad8b1f
douche	bonne	Non	Il défit sa valise à contrecoeur, sortit le scénario de son sac de voyage, et songea qu'après une bonne douche il lui faudrait se mettre au travail.	s2706 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s2706&idxml=LITT.fr.BOURDIN.xml&user=userP&token=7e63ff15a71f3be062d1bc4a601a385d
douche	bonne	Non	La pluie lui faisait du bien, elle se sentait moite, rêvait d'une bonne douche chaude.	s3660 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s3660&idxml=LITT.fr.CHATTAM.xml&user=userP&token=acb3edecbcd7c83f2c80d385d77e25db
douche	bonne	Non	Je les laisse discuter et m'éclipse pour me débarrasser de cet assaut d'idées vides sous une bonne douche.	s2569 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s2569&idxml=LITT.fr.DICKER.xml&user=userP&token=4656c95783e29adb4d22644c5ae03e76
douche	bonne	Non	Après tout ce sexe, une bonne douche s'impose.	s3899 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s3899&idxml=LITT.fr.INGUIMBERT.xml&user=userP&token=186b286a386084254ab1a5e288772205
douche	bonne	Non	Nous rejoignons ses parents après une bonne douche pour diner.	s7236 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s7236&idxml=LITT.fr.INGUIMBERT.xml&user=userP&token=4ae536cf49662bd4476ca70ef4a1c5ea
douche	bonne	Non	Après une bonne douche, je m'habille et je vais retrouver Carla.	s89 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s89&idxml=LITT.fr.JARRIGE.xml&user=userP&token=e6e627dfa3439102889a298e155ae83a
douche	bonne	Non	Il aurait donné beaucoup pour une bonne douche ou une couette moelleuse dans une chambre tiède.	s6052 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s6052&idxml=LITT.fr.LEFEBVRE.xml&user=userP&token=e37aa7c5bccf5350e2be4888b1c2d24b
douche	bonne	Non	La perspective d'une bonne douche pour enlever cette odeur de fumée qui semblait être incrustée dans sa peau acheva de la convaincre.	s2782 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s2782&idxml=LITT.fr.OLIVAUX.xml&user=userP&token=700d4d7a1821ec55820c6f958caa5358
douche	bonne	Non	Par contre, il se promit une bonne douche après le déjeuner.	s3095 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s3095&idxml=LITT.fr.SENECAL.xml&user=userP&token=e5ae14d62755ec83e2aaa404cd167521
père	bon	Oui	Il m'a donné deux enfants merveilleux, et surtout, il reste un très bon père.	s1543 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s1543&idxml=LITT.fr.ABECASSIS.xml&user=userP&token=a26f9feefc175cfc3329f766910833e3
élèves	bons	Oui	Ils étaient relativement bons élèves, mais chaque année gravie dans leur scolarité me semblait les éloigner un peu plus de ma précarité.	s6927 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s6927&idxml=LITT.fr.ABECASSIS.xml&user=userP&token=8a87cae1ce01d8607c7852f073b145b2
mère	bonne	Oui	À part ça, elle était une bonne mère, même si elle reconnaissait préférer son mari à ses enfants.	s13333 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s13333&idxml=LITT.fr.BOURDIN.xml&user=userP&token=4d276e9f594e9578281ab081439b938b
nageur	bon	Oui	Il avait fallu au bon nageur une résolution désespérée pour étouffer dans cette boue noire.	s2337 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s2337&idxml=LITT.fr.YOURCENAR.xml&user=userP&token=7d999d75ceb8ba8553e01fa246028ed2
tireur	bon	Oui	– Tu es un bon tireur à l'arbalète, Swa, mais l'arme blanche, l'arme des combats nobles, mon garçon, qu'en fais-tu ?	s3761 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s3761&idxml=LITT.fr.WALTHER.xml&user=userP&token=8168ced2c3d22a7f23f9388bdd9861ba
étudiants	bons	Oui	C'est ce qui fait les bons étudiants, vous ne trouvez pas ?	s430 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s430&idxml=LITT.fr.VONARBURG.xml&user=userP&token=4d0d0cf77f565661e7813e32028e204b
professeure	bonne	Oui	Je suis sûre que mademoiselle est une très bonne professeure.	s9693 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s9693&idxml=LITT.fr.VONARBURG.xml&user=userP&token=56c9a7729c1373d58455459c182c64d0
commandant	bon	Oui	– Tout le monde pense que tu seras un bon commandant, dit Pedron Dardaf.	s3504 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s3504&idxml=LITT.fr.VOLODINE.xml&user=userP&token=9110a6ec06528267dc2f40d75c38616e
jardinier	bon	Oui	Il lui avait fait une longue lettre pour dire qu'il était très bon jardinier.	s9156 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s9156&idxml=LITT.fr.VARGAS.xml&user=userP&token=52bb0c79a2f65c676ef381cd292a177c
comédienne	bonne	Oui	Si elle fait semblant, elle est drôlement bonne comédienne.	s3498 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s3498&idxml=LITT.fr.TROMPETTE.xml&user=userP&token=d0580a2ee700475865acd8e431e2495d
chanteur	grand	Non	Cette nuit que nous vous faisons partager, cette nuit de l'impuissance et de l'amitié brisée, nous la conclurons avec le grand chanteur de raï - cheb Khaled -, sa voix gutturale frottée de sel, et l'inlassable dialogue des trompettes au cuivre nasal, des tablas et des ouds à long manche.	s3310 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s3310&idxml=LITT.fr.BAPTISTE-MARREY.xml&user=userP&token=84a0126a2107ae8422da019def322883
chanteur	grand	Non	Vous possédez une voix qui a fait pâlir de jalousie le grand chanteur italien Maroni, vous rimez à merveille, vous poussez au plus haut point – pardonnez-moi, madame – l'art de séduire les femmes...	s5873 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s5873&idxml=LITT.fr.GOLON~GOLON.xml&user=userP&token=c0c3add3e576bce56be234a0992c810c
chanteur	grand	Non	Il devrait, lui, rester jusqu'au bout: ce serait lui, «Jean Fabri le grand chanteur que vous connaissez tous... », qui remettrait le prix à la gagnante!	s31513 	SENT : Corpus sentimental de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s31513&idxml=SENT.fr.BOISSARD.xml&user=userP&token=302c423c8a531e4d5474dab3dcee0759
chanteur	grand	Non	L'important est d'avoir une bonne technique, et cela tout grand chanteur peut vous l'apprendre.	s337935 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s337935&idxml=libe2010_2015.xml&user=userP&token=36458d7ed06256f454c7820e27734e98
chanteur	grand	Non	Je ne suis pas un grand chanteur ou un grand industriel.	s368239 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s368239&idxml=libe2010_2015.xml&user=userP&token=9b68d7b1b210ab96b2dbb64654c1a170
chanteur	grand	Non	On y entendra Enrico Macias chanter en duo une version yiddish de Paris tu m'as pris dans tes bras, traduite pour l'occasion par le grand chanteur Theodore Bikel, Américano-Israélien né à Vienne (Autriche) en 1924, et dont les parents avaient émigré en Palestine dès 1937.	s69072 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s69072&idxml=lm2010_2015.xml&user=userP&token=3d3f774827b1d1351cce6f4917478885
chanteur	grand	Non	Caetano Veloso, alors en exil à Londres, choisit de ne pas chanter du Veloso, mais une chanson patrimoniale, Asa Branca , sorte d'hymne au Nordeste, à sa sécheresse désertique, écrite en 1947 par le grand accordéoniste et chanteur Luiz Gonzaga (1912-1989).	s922789 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s922789&idxml=lm2010_2015.xml&user=userP&token=b6da1757b282a1fd90d3d33b304fcfdb
chanteur	grand	Non	Tu es le plus grand chanteur d'Europe.	s1299551 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s1299551&idxml=lm2010_2015.xml&user=userP&token=77b686bf93d5151425b38984b764e7ad
chanteur	grand	Non	Respect des musiciens, jeu égal, conscience que rien ne sépare la note du mot : il y faut un très grand chanteur et les meilleurs autour.	s844643 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s844643&idxml=lm2010_2015.xml&user=userP&token=260c67d6dbc424ba113b135e8556eb37
chanteur	grand	Non	"Le disque s'ouvre avec Chayé Nou, un hommage à Patrick Saint-Eloi, ""notre plus grand chanteur"", emporté par un cancer en 2010 à 51 ans."	s129043 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s129043&idxml=libe2010_2015.xml&user=userP&token=2d63717f6a5bae4c3222e03db84e0b13
cadres	grands	Oui	Et sans doute bien plus encore... Je me figurai tous les miroirs qui pouvaient se trouver en ville, les petits accessoires à main, les jolies glaces ovales disposées sur les coiffeuses, les grands cadres décoratifs accrochés sur les murs des riches, et je réalisai qu'il s'agissait d'autant de fenêtres ouvertes sur l'intimité des appartements.	s3256 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s3256&idxml=LITT.fr.JAWORSKI.xml&user=userP&token=f38b1141ca922201644fbda62a902942
lévrier	grand	Oui	C'était un grand lévrier de Valanael : un animal magnifique, tout en finesse et en puissance.	s5059 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s5059&idxml=LITT.fr.JAWORSKI.xml&user=userP&token=3078ef052247c18cd66c1b038e3fe9c8
nef	grande	Oui	Au centre du dispositif mouillait une grande nef noire, couverte par une tente obscure, dont les rabats habillaient la coque et pendaient jusque dans l'écume.	s5589 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s5589&idxml=LITT.fr.JAWORSKI.xml&user=userP&token=35ada5cf170d465d7db1be3dd74032bf
portefeuille	grand	Oui	Le ministérial rangea les papiers dans un grand portefeuille de cuir et se leva, mais les deux hommes discutèrent encore un moment.	s6706 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s6706&idxml=LITT.fr.JAWORSKI.xml&user=userP&token=8cb9194b3d22d0f2f6cc5f34b2039f5a
figurines	grandes	Oui	Ils avaient aligné sur le pavé de grandes figurines de bois peint, se livrant une guerre calme et sérieuse ; mais notre arrivée avait suspendu l'affrontement des jouets, et ils levaient vers nous des yeux curieux.	s7108 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s7108&idxml=LITT.fr.JAWORSKI.xml&user=userP&token=30f0995d83f64bcbdb5067ca16d2bf27
salon	grand	Oui	Notre hôtesse nous mena dans un grand salon un peu vide, mais non pas désert.	s7237 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s7237&idxml=LITT.fr.JAWORSKI.xml&user=userP&token=c087a248fd74338b77eaf764c14aad06
fenêtres	grandes	Oui	Mais ce qui attirait l'oeil, c'étaient les grandes fenêtres à meneaux, que l'on avait ouvertes par ce temps caniculaire.	s7457 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s7457&idxml=LITT.fr.JAWORSKI.xml&user=userP&token=0bfeb77eee47bc2901ee0ddb56b63e15
carnets	grands	Oui	Nous partions ensemble, je répétais, elle peignait dans les chambres d'hôtel sur un chevalet portatif, ou elle remplissait de croquis ou d'aquarelles les pages de grands carnets à spirale, au gré de ses découvertes, dans les villes où nous nous trouvions.	s1098 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s1098&idxml=LITT.fr.JOSSE.xml&user=userP&token=806e6f2999e6067a3826451d03c0ba39
mains	grandes	Oui	Le Sapientissime était resté assis en tailleur, ses grandes mains posées l'une sur l'autre dans son giron, paumes en l'air.	s10907 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s10907&idxml=LITT.fr.JAWORSKI.xml&user=userP&token=66f53c35cb04347df0927ad6f5c420de
arc	grand	Oui	Je me rendis compte alors qu'il portait un carquois en bandoulière, ainsi qu'un grand arc décordé, soigneusement emballé dans une housse.	s14645 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s14645&idxml=LITT.fr.JAWORSKI.xml&user=userP&token=9a495f7d8a4910b15e4ddaca6b7f0ee0
journalistes	grands	Non	– Non, il a peut-être un peu disjoncté sur la fin mais moi, je l'ai bien connu et je peux vous affirmer qu'il a été en son temps l'un des plus grands journalistes de Paris.	s919 	SF_COMP : corpus de SF comparable en-fr (années 1990)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s919&idxml=SF.en_fr/patched/fr/WERBER_Le_Pere_de_nos_peres.xml.tei.xml&user=userP&token=16c91749d1f70abb713910f9d533f8da
journalistes	grands	Non	Philippe Barrès sera aussi l'un des grands journalistes de son temps.	s47993 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s47993&idxml=lfi2010_2011.xml&user=userP&token=4e5af0c85227fb33233723a88ad23e71
journaliste	grand	Non	Ce grand journaliste observa beaucoup et ses leçons portent loin.	s351466 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s351466&idxml=lfi2010_2011.xml&user=userP&token=86701de1de9a48a94288336580c1c1bf
journalistes	grands	Non	Il aimait profondément les gens du métier, les grands journalistes, les professionnels.	s302373 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s302373&idxml=libe2010_2015.xml&user=userP&token=b14b4fc84a5225fa8614516fd63eefa5
journalistes	grands	Non	Micha Shagrir, 76 ans, l'un des grands journalistes et cinéastes d'Israël, a perdu sa femme, Aliza, 32 ans à l'époque, brillante journaliste, qui marchait sur le trottoir de la rue Copernic, le 3 octobre 1980, partie acheter des pistaches à la boutique libanaise en face de la synagogue.	s386219 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s386219&idxml=libe2010_2015.xml&user=userP&token=216d9bb142026e2f85fed3ae1652a7c0
journalistes	grands	Non	Dans les années 1980, Dele Olojede était l'un de ces grands journalistes nigérians qui défiaient la dictature militaire.	s300106 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s300106&idxml=lm2010_2015.xml&user=userP&token=1baaf091f85aa8f8cfead6690c8c060b
